"","citizenship","year","TFR"
"1","italiani",2002,1.21
"2","italiani",2003,1.24
"3","italiani",2004,1.26
"4","italiani",2005,1.25
"5","italiani",2006,1.27
"6","italiani",2007,1.29
"7","italiani",2008,1.33
"8","italiani",2009,1.33
"9","italiani",2010,1.33
"10","italiani",2011,1.32
"11","italiani",2012,1.31
"12","italiani",2013,1.29
"13","italiani",2014,1.29
"14","italiani",2015,1.28
"15","italiani",2016,1.27
"16","italiani",2017,1.25
"17","italiani",2018,1.22
"18","italiani",2019,1.18
"19","italiani",2020,1.17
"20","italiani",2021,1.18
"21","italiani",2022,1.18
"22","italiani",2023,1.14
"23","italiani",2024,1.11
"24","stranieri",2002,2.82
"25","stranieri",2003,2.47
"26","stranieri",2004,2.84
"27","stranieri",2005,2.69
"28","stranieri",2006,2.79
"29","stranieri",2007,2.67
"30","stranieri",2008,2.53
"31","stranieri",2009,2.43
"32","stranieri",2010,2.31
"33","stranieri",2011,2.22
"34","stranieri",2012,2.18
"35","stranieri",2013,2.09
"36","stranieri",2014,2.06
"37","stranieri",2015,2.01
"38","stranieri",2016,2.04
"39","stranieri",2017,2.06
"40","stranieri",2018,2.03
"41","stranieri",2019,1.99
"42","stranieri",2020,1.89
"43","stranieri",2021,1.87
"44","stranieri",2022,1.86
"45","stranieri",2023,1.82
"46","stranieri",2024,1.81
