"","citizenship","age","year","asfr"
"1","italiani",14,2002,0
"2","italiani",14,2003,0.03
"3","italiani",14,2004,0.02
"4","italiani",14,2005,0
"5","italiani",14,2006,0.03
"6","italiani",14,2007,0.01
"7","italiani",14,2008,0.02
"8","italiani",14,2009,0.04
"9","italiani",14,2010,0
"10","italiani",14,2011,0.08
"11","italiani",14,2012,0.07
"12","italiani",14,2013,0.04
"13","italiani",14,2014,0.06
"14","italiani",14,2015,0.03
"15","italiani",14,2016,0.03
"16","italiani",14,2017,0.02
"17","italiani",14,2018,0.03
"18","italiani",14,2019,0.01
"19","italiani",14,2020,0.01
"20","italiani",14,2021,0.03
"21","italiani",14,2022,0.02
"22","italiani",14,2023,0.03
"23","italiani",14,2024,0.01
"24","italiani",15,2002,0.12
"25","italiani",15,2003,0.14
"26","italiani",15,2004,0.15
"27","italiani",15,2005,0.12
"28","italiani",15,2006,0.12
"29","italiani",15,2007,0.13
"30","italiani",15,2008,0.18
"31","italiani",15,2009,0.14
"32","italiani",15,2010,0.1
"33","italiani",15,2011,0.09
"34","italiani",15,2012,0.12
"35","italiani",15,2013,0.21
"36","italiani",15,2014,0.24
"37","italiani",15,2015,0.17
"38","italiani",15,2016,0.17
"39","italiani",15,2017,0.15
"40","italiani",15,2018,0.1
"41","italiani",15,2019,0.09
"42","italiani",15,2020,0.11
"43","italiani",15,2021,0.07
"44","italiani",15,2022,0.06
"45","italiani",15,2023,0.07
"46","italiani",15,2024,0.06
"47","italiani",16,2002,2.94
"48","italiani",16,2003,2.99
"49","italiani",16,2004,2.92
"50","italiani",16,2005,2.82
"51","italiani",16,2006,2.6
"52","italiani",16,2007,2.62
"53","italiani",16,2008,2.83
"54","italiani",16,2009,2.67
"55","italiani",16,2010,2.42
"56","italiani",16,2011,2.48
"57","italiani",16,2012,2.5
"58","italiani",16,2013,2.14
"59","italiani",16,2014,2.08
"60","italiani",16,2015,1.91
"61","italiani",16,2016,1.61
"62","italiani",16,2017,1.35
"63","italiani",16,2018,1.21
"64","italiani",16,2019,1.2
"65","italiani",16,2020,0.9
"66","italiani",16,2021,0.94
"67","italiani",16,2022,0.82
"68","italiani",16,2023,0.76
"69","italiani",16,2024,0.8
"70","italiani",17,2002,5.57
"71","italiani",17,2003,5.37
"72","italiani",17,2004,5.44
"73","italiani",17,2005,5.5
"74","italiani",17,2006,4.82
"75","italiani",17,2007,4.74
"76","italiani",17,2008,5.07
"77","italiani",17,2009,4.56
"78","italiani",17,2010,4.52
"79","italiani",17,2011,4.34
"80","italiani",17,2012,4.37
"81","italiani",17,2013,4.05
"82","italiani",17,2014,4.07
"83","italiani",17,2015,3.57
"84","italiani",17,2016,3.06
"85","italiani",17,2017,2.86
"86","italiani",17,2018,2.63
"87","italiani",17,2019,2.19
"88","italiani",17,2020,1.89
"89","italiani",17,2021,1.91
"90","italiani",17,2022,1.76
"91","italiani",17,2023,1.53
"92","italiani",17,2024,1.45
"93","italiani",18,2002,8.91
"94","italiani",18,2003,8.48
"95","italiani",18,2004,8.31
"96","italiani",18,2005,8.22
"97","italiani",18,2006,7.99
"98","italiani",18,2007,7.84
"99","italiani",18,2008,8.13
"100","italiani",18,2009,7.32
"101","italiani",18,2010,7.28
"102","italiani",18,2011,7.18
"103","italiani",18,2012,7.17
"104","italiani",18,2013,6.74
"105","italiani",18,2014,6.45
"106","italiani",18,2015,5.98
"107","italiani",18,2016,5.61
"108","italiani",18,2017,4.85
"109","italiani",18,2018,4.38
"110","italiani",18,2019,4.24
"111","italiani",18,2020,3.61
"112","italiani",18,2021,3.31
"113","italiani",18,2022,3.24
"114","italiani",18,2023,3.15
"115","italiani",18,2024,2.95
"116","italiani",19,2002,12.58
"117","italiani",19,2003,12.44
"118","italiani",19,2004,12.3
"119","italiani",19,2005,12.25
"120","italiani",19,2006,12.14
"121","italiani",19,2007,11.72
"122","italiani",19,2008,11.56
"123","italiani",19,2009,11.31
"124","italiani",19,2010,10.95
"125","italiani",19,2011,10.94
"126","italiani",19,2012,10.4
"127","italiani",19,2013,9.83
"128","italiani",19,2014,9.76
"129","italiani",19,2015,8.97
"130","italiani",19,2016,8.94
"131","italiani",19,2017,7.76
"132","italiani",19,2018,8.02
"133","italiani",19,2019,6.79
"134","italiani",19,2020,6.57
"135","italiani",19,2021,5.98
"136","italiani",19,2022,5.91
"137","italiani",19,2023,5.68
"138","italiani",19,2024,5.2
"139","italiani",20,2002,16.3
"140","italiani",20,2003,16.03
"141","italiani",20,2004,16.02
"142","italiani",20,2005,15.69
"143","italiani",20,2006,15.47
"144","italiani",20,2007,15.64
"145","italiani",20,2008,15.28
"146","italiani",20,2009,14.63
"147","italiani",20,2010,13.87
"148","italiani",20,2011,13.95
"149","italiani",20,2012,14.12
"150","italiani",20,2013,13.33
"151","italiani",20,2014,12.91
"152","italiani",20,2015,12.26
"153","italiani",20,2016,11.48
"154","italiani",20,2017,10.87
"155","italiani",20,2018,10.47
"156","italiani",20,2019,9.56
"157","italiani",20,2020,8.85
"158","italiani",20,2021,8.62
"159","italiani",20,2022,8.37
"160","italiani",20,2023,7.81
"161","italiani",20,2024,7.29
"162","italiani",21,2002,20.95
"163","italiani",21,2003,20.12
"164","italiani",21,2004,20.31
"165","italiani",21,2005,19.77
"166","italiani",21,2006,18.83
"167","italiani",21,2007,18.98
"168","italiani",21,2008,19.3
"169","italiani",21,2009,18.82
"170","italiani",21,2010,18
"171","italiani",21,2011,17.45
"172","italiani",21,2012,17.33
"173","italiani",21,2013,16.79
"174","italiani",21,2014,16.72
"175","italiani",21,2015,15.2
"176","italiani",21,2016,14.68
"177","italiani",21,2017,13.97
"178","italiani",21,2018,12.93
"179","italiani",21,2019,12.08
"180","italiani",21,2020,11.63
"181","italiani",21,2021,11.27
"182","italiani",21,2022,10.71
"183","italiani",21,2023,10.06
"184","italiani",21,2024,9.87
"185","italiani",22,2002,26.64
"186","italiani",22,2003,25.67
"187","italiani",22,2004,25.58
"188","italiani",22,2005,24.27
"189","italiani",22,2006,23.69
"190","italiani",22,2007,23.6
"191","italiani",22,2008,24
"192","italiani",22,2009,22.86
"193","italiani",22,2010,22.26
"194","italiani",22,2011,21.63
"195","italiani",22,2012,21.41
"196","italiani",22,2013,20.2
"197","italiani",22,2014,20.77
"198","italiani",22,2015,19.35
"199","italiani",22,2016,18.52
"200","italiani",22,2017,17.63
"201","italiani",22,2018,17
"202","italiani",22,2019,15.71
"203","italiani",22,2020,14.95
"204","italiani",22,2021,14.25
"205","italiani",22,2022,14.06
"206","italiani",22,2023,13.1
"207","italiani",22,2024,11.98
"208","italiani",23,2002,33.82
"209","italiani",23,2003,32.43
"210","italiani",23,2004,31.32
"211","italiani",23,2005,30.2
"212","italiani",23,2006,30.23
"213","italiani",23,2007,28.74
"214","italiani",23,2008,30.18
"215","italiani",23,2009,29.05
"216","italiani",23,2010,27.72
"217","italiani",23,2011,26.82
"218","italiani",23,2012,26.3
"219","italiani",23,2013,25.84
"220","italiani",23,2014,25.03
"221","italiani",23,2015,24.14
"222","italiani",23,2016,23.78
"223","italiani",23,2017,21.92
"224","italiani",23,2018,20.29
"225","italiani",23,2019,19.46
"226","italiani",23,2020,18.65
"227","italiani",23,2021,17.83
"228","italiani",23,2022,18.07
"229","italiani",23,2023,16.18
"230","italiani",23,2024,15.7
"231","italiani",24,2002,41.33
"232","italiani",24,2003,40.69
"233","italiani",24,2004,39.44
"234","italiani",24,2005,37.78
"235","italiani",24,2006,37.2
