"","origine","sex","age","year","emigrati"
"1","Italia","Maschi","Fino a 17 anni",2002,2771
"2","Italia","Maschi","Fino a 17 anni",2003,3372
"3","Italia","Maschi","Fino a 17 anni",2004,2867
"4","Italia","Maschi","Fino a 17 anni",2005,3399
"5","Italia","Maschi","Fino a 17 anni",2006,3737
"6","Italia","Maschi","Fino a 17 anni",2007,2836
"7","Italia","Maschi","Fino a 17 anni",2008,3111
"8","Italia","Maschi","Fino a 17 anni",2009,3098
"9","Italia","Maschi","Fino a 17 anni",2010,3585
"10","Italia","Maschi","Fino a 17 anni",2011,4451
"11","Italia","Maschi","Fino a 17 anni",2012,5498
"12","Italia","Maschi","Fino a 17 anni",2013,7037
"13","Italia","Maschi","Fino a 17 anni",2014,8678
"14","Italia","Maschi","Fino a 17 anni",2015,10540
"15","Italia","Maschi","Fino a 17 anni",2016,11433
"16","Italia","Maschi","Fino a 17 anni",2017,11036
"17","Italia","Maschi","Fino a 17 anni",2018,11057
"18","Italia","Maschi","Fino a 17 anni",2019,10851
"19","Italia","Maschi","Fino a 17 anni",2020,11773
"20","Italia","Maschi","Fino a 17 anni",2021,9339
"21","Italia","Maschi","Fino a 17 anni",2022,8452
"22","Italia","Maschi","Fino a 17 anni",2023,8090
"23","Italia","Maschi","Fino a 17 anni",2024,8163
"24","Italia","Maschi","Fino a 17 anni",2025,6929
"25","Italia","Maschi","18-39 anni",2002,10566
"26","Italia","Maschi","18-39 anni",2003,11510
"27","Italia","Maschi","18-39 anni",2004,11427
"28","Italia","Maschi","18-39 anni",2005,11382
"29","Italia","Maschi","18-39 anni",2006,12003
"30","Italia","Maschi","18-39 anni",2007,10987
"31","Italia","Maschi","18-39 anni",2008,12078
"32","Italia","Maschi","18-39 anni",2009,12062
"33","Italia","Maschi","18-39 anni",2010,11727
"34","Italia","Maschi","18-39 anni",2011,14624
"35","Italia","Maschi","18-39 anni",2012,19317
"36","Italia","Maschi","18-39 anni",2013,24152
"37","Italia","Maschi","18-39 anni",2014,25413
"38","Italia","Maschi","18-39 anni",2015,28393
"39","Italia","Maschi","18-39 anni",2016,33134
"40","Italia","Maschi","18-39 anni",2017,33188
"41","Italia","Maschi","18-39 anni",2018,34494
"42","Italia","Maschi","18-39 anni",2019,36074
"43","Italia","Maschi","18-39 anni",2020,33938
"44","Italia","Maschi","18-39 anni",2021,26804
"45","Italia","Maschi","18-39 anni",2022,29613
"46","Italia","Maschi","18-39 anni",2023,36189
"47","Italia","Maschi","18-39 anni",2024,46627
"48","Italia","Maschi","18-39 anni",2025,34280
"49","Italia","Maschi","40-64 anni",2002,5151
"50","Italia","Maschi","40-64 anni",2003,6339
"51","Italia","Maschi","40-64 anni",2004,6206
"52","Italia","Maschi","40-64 anni",2005,6837
"53","Italia","Maschi","40-64 anni",2006,7684
"54","Italia","Maschi","40-64 anni",2007,5782
"55","Italia","Maschi","40-64 anni",2008,6132
"56","Italia","Maschi","40-64 anni",2009,6024
"57","Italia","Maschi","40-64 anni",2010,6210
"58","Italia","Maschi","40-64 anni",2011,8001
"59","Italia","Maschi","40-64 anni",2012,11830
"60","Italia","Maschi","40-64 anni",2013,13512
"61","Italia","Maschi","40-64 anni",2014,14278
"62","Italia","Maschi","40-64 anni",2015,16421
"63","Italia","Maschi","40-64 anni",2016,16951
"64","Italia","Maschi","40-64 anni",2017,16547
"65","Italia","Maschi","40-64 anni",2018,16770
"66","Italia","Maschi","40-64 anni",2019,17113
"67","Italia","Maschi","40-64 anni",2020,17111
"68","Italia","Maschi","40-64 anni",2021,13401
"69","Italia","Maschi","40-64 anni",2022,13814
"70","Italia","Maschi","40-64 anni",2023,15394
"71","Italia","Maschi","40-64 anni",2024,18577
"72","Italia","Maschi","40-64 anni",2025,14498
"73","Italia","Maschi","65 anni e più",2002,1153
"74","Italia","Maschi","65 anni e più",2003,1730
"75","Italia","Maschi","65 anni e più",2004,1771
"76","Italia","Maschi","65 anni e più",2005,2013
"77","Italia","Maschi","65 anni e più",2006,2528
"78","Italia","Maschi","65 anni e più",2007,1331
"79","Italia","Maschi","65 anni e più",2008,1378
"80","Italia","Maschi","65 anni e più",2009,1277
"81","Italia","Maschi","65 anni e più",2010,1242
"82","Italia","Maschi","65 anni e più",2011,1665
"83","Italia","Maschi","65 anni e più",2012,2626
"84","Italia","Maschi","65 anni e più",2013,2596
"85","Italia","Maschi","65 anni e più",2014,2556
"86","Italia","Maschi","65 anni e più",2015,3008
"87","Italia","Maschi","65 anni e più",2016,2745
"88","Italia","Maschi","65 anni e più",2017,3111
"89","Italia","Maschi","65 anni e più",2018,2935
"90","Italia","Maschi","65 anni e più",2019,2782
"91","Italia","Maschi","65 anni e più",2020,2705
"92","Italia","Maschi","65 anni e più",2021,2174
"93","Italia","Maschi","65 anni e più",2022,2609
"94","Italia","Maschi","65 anni e più",2023,3221
"95","Italia","Maschi","65 anni e più",2024,3271
"96","Italia","Maschi","65 anni e più",2025,3291
"97","Italia","Femmine","Fino a 17 anni",2002,2566
"98","Italia","Femmine","Fino a 17 anni",2003,3021
"99","Italia","Femmine","Fino a 17 anni",2004,2639
"100","Italia","Femmine","Fino a 17 anni",2005,3212
"101","Italia","Femmine","Fino a 17 anni",2006,3495
"102","Italia","Femmine","Fino a 17 anni",2007,2663
"103","Italia","Femmine","Fino a 17 anni",2008,2948
"104","Italia","Femmine","Fino a 17 anni",2009,2957
"105","Italia","Femmine","Fino a 17 anni",2010,3321
"106","Italia","Femmine","Fino a 17 anni",2011,4166
"107","Italia","Femmine","Fino a 17 anni",2012,5251
"108","Italia","Femmine","Fino a 17 anni",2013,6842
"109","Italia","Femmine","Fino a 17 anni",2014,8210
"110","Italia","Femmine","Fino a 17 anni",2015,9627
"111","Italia","Femmine","Fino a 17 anni",2016,10882
"112","Italia","Femmine","Fino a 17 anni",2017,10414
"113","Italia","Femmine","Fino a 17 anni",2018,10316
"114","Italia","Femmine","Fino a 17 anni",2019,11056
"115","Italia","Femmine","Fino a 17 anni",2020,11641
"116","Italia","Femmine","Fino a 17 anni",2021,8856
"117","Italia","Femmine","Fino a 17 anni",2022,8102
"118","Italia","Femmine","Fino a 17 anni",2023,7831
"119","Italia","Femmine","Fino a 17 anni",2024,7740
"120","Italia","Femmine","Fino a 17 anni",2025,6578
"121","Italia","Femmine","18-39 anni",2002,7414
"122","Italia","Femmine","18-39 anni",2003,7903
"123","Italia","Femmine","18-39 anni",2004,8293
"124","Italia","Femmine","18-39 anni",2005,8714
"125","Italia","Femmine","18-39 anni",2006,9366
"126","Italia","Femmine","18-39 anni",2007,7846
"127","Italia","Femmine","18-39 anni",2008,8870
"128","Italia","Femmine","18-39 anni",2009,8827
"129","Italia","Femmine","18-39 anni",2010,8725
"130","Italia","Femmine","18-39 anni",2011,10933
"131","Italia","Femmine","18-39 anni",2012,14239
"132","Italia","Femmine","18-39 anni",2013,18190
"133","Italia","Femmine","18-39 anni",2014,19661
"134","Italia","Femmine","18-39 anni",2015,22655
"135","Italia","Femmine","18-39 anni",2016,27654
"136","Italia","Femmine","18-39 anni",2017,28365
