year,age_mother,citizenship,asfr
2025,14,italiani,0.01892213519070299
2025,15,italiani,0.07016450875068113
2025,16,italiani,0.8005940685027347
2025,17,italiani,1.6183900600619083
2025,18,italiani,3.085013562383268
2025,19,italiani,5.56541750115598
2025,20,italiani,7.764788499431397
2025,21,italiani,10.157387413915252
2025,22,italiani,12.960233757046499
2025,23,italiani,16.39416186204363
2025,24,italiani,20.479679937036735
2025,25,italiani,26.818258128837588
2025,26,italiani,34.3773813695167
2025,27,italiani,43.725872887110874
2025,28,italiani,53.18779017123736
2025,29,italiani,64.11488955500532
2025,30,italiani,73.77067556100071
2025,31,italiani,81.30321951952665
2025,32,italiani,85.06491004378147
2025,33,italiani,85.09268953353975
2025,34,italiani,83.07411188391231
2025,35,italiani,78.81919338336951
2025,36,italiani,70.73589593020237
2025,37,italiani,60.243429235542855
2025,38,italiani,49.97537754755986
2025,39,italiani,40.058898327748025
2025,40,italiani,29.97940138157711
2025,41,italiani,21.314975224689697
2025,42,italiani,13.840339960805283
2025,43,italiani,8.387781091756551
2025,44,italiani,5.133061356613531
2025,45,italiani,3.1175952421384556
2025,46,italiani,2.0250026237455185
2025,47,italiani,1.2545110731375189
2025,48,italiani,0.7895866091803829
2025,49,italiani,0.5238057200896858
2025,50,italiani,0.9535899230732984
2026,14,italiani,0.018899864196189872
2026,15,italiani,0.07008192645361722
2026,16,italiani,0.7996517844567133
2026,17,italiani,1.6164852456324332
2026,18,italiani,3.0813825598865465
2026,19,italiani,5.558867110231156
2026,20,italiani,7.755649490523388
2026,21,italiani,10.145432361428675
2026,22,italiani,12.944979807532716
2026,23,italiani,16.37486624422899
2026,24,italiani,20.455575741875275
2026,25,italiani,26.786693547271113
2026,26,italiani,34.336919843154064
2026,27,italiani,43.674408363401696
2026,28,italiani,53.12518915020404
2026,29,italiani,64.03942754508424
2026,30,italiani,73.68384887394399
2026,31,italiani,81.20752717098513
2026,32,italiani,84.96479025678327
2026,33,italiani,84.99253705060858
2026,34,italiani,82.9763352286193
2026,35,italiani,78.72642468651377
2026,36,italiani,70.6526411212569
2026,37,italiani,60.17252386104709
2026,38,italiani,49.916557475303975
