"","origine","sex","age","year","immigrati"
"1","Italia","Maschi","Fino a 17 anni",2002,5110
"2","Italia","Maschi","Fino a 17 anni",2003,5404
"3","Italia","Maschi","Fino a 17 anni",2004,3917
"4","Italia","Maschi","Fino a 17 anni",2005,4325
"5","Italia","Maschi","Fino a 17 anni",2006,4211
"6","Italia","Maschi","Fino a 17 anni",2007,4138
"7","Italia","Maschi","Fino a 17 anni",2008,3728
"8","Italia","Maschi","Fino a 17 anni",2009,3339
"9","Italia","Maschi","Fino a 17 anni",2010,3247
"10","Italia","Maschi","Fino a 17 anni",2011,3543
"11","Italia","Maschi","Fino a 17 anni",2012,3395
"12","Italia","Maschi","Fino a 17 anni",2013,3096
"13","Italia","Maschi","Fino a 17 anni",2014,3273
"14","Italia","Maschi","Fino a 17 anni",2015,3116
"15","Italia","Maschi","Fino a 17 anni",2016,4165
"16","Italia","Maschi","Fino a 17 anni",2017,4380
"17","Italia","Maschi","Fino a 17 anni",2018,4976
"18","Italia","Maschi","Fino a 17 anni",2019,6773
"19","Italia","Maschi","Fino a 17 anni",2020,6748
"20","Italia","Maschi","Fino a 17 anni",2021,8161
"21","Italia","Maschi","Fino a 17 anni",2022,8817
"22","Italia","Maschi","Fino a 17 anni",2023,6906
"23","Italia","Maschi","Fino a 17 anni",2024,6660
"24","Italia","Maschi","Fino a 17 anni",2025,5287
"25","Italia","Maschi","18-39 anni",2002,10020
"26","Italia","Maschi","18-39 anni",2003,10804
"27","Italia","Maschi","18-39 anni",2004,8706
"28","Italia","Maschi","18-39 anni",2005,7973
"29","Italia","Maschi","18-39 anni",2006,7551
"30","Italia","Maschi","18-39 anni",2007,7403
"31","Italia","Maschi","18-39 anni",2008,6351
"32","Italia","Maschi","18-39 anni",2009,5705
"33","Italia","Maschi","18-39 anni",2010,5355
"34","Italia","Maschi","18-39 anni",2011,5617
"35","Italia","Maschi","18-39 anni",2012,5178
"36","Italia","Maschi","18-39 anni",2013,5118
"37","Italia","Maschi","18-39 anni",2014,5456
"38","Italia","Maschi","18-39 anni",2015,5971
"39","Italia","Maschi","18-39 anni",2016,8034
"40","Italia","Maschi","18-39 anni",2017,8967
"41","Italia","Maschi","18-39 anni",2018,10332
"42","Italia","Maschi","18-39 anni",2019,13867
"43","Italia","Maschi","18-39 anni",2020,11745
"44","Italia","Maschi","18-39 anni",2021,16639
"45","Italia","Maschi","18-39 anni",2022,14900
"46","Italia","Maschi","18-39 anni",2023,12963
"47","Italia","Maschi","18-39 anni",2024,12576
"48","Italia","Maschi","18-39 anni",2025,12971
"49","Italia","Maschi","40-64 anni",2002,7138
"50","Italia","Maschi","40-64 anni",2003,7118
"51","Italia","Maschi","40-64 anni",2004,6284
"52","Italia","Maschi","40-64 anni",2005,6131
"53","Italia","Maschi","40-64 anni",2006,6296
"54","Italia","Maschi","40-64 anni",2007,6021
"55","Italia","Maschi","40-64 anni",2008,5222
"56","Italia","Maschi","40-64 anni",2009,5130
"57","Italia","Maschi","40-64 anni",2010,4990
"58","Italia","Maschi","40-64 anni",2011,5477
"59","Italia","Maschi","40-64 anni",2012,5252
"60","Italia","Maschi","40-64 anni",2013,4945
"61","Italia","Maschi","40-64 anni",2014,5094
"62","Italia","Maschi","40-64 anni",2015,5736
"63","Italia","Maschi","40-64 anni",2016,6915
"64","Italia","Maschi","40-64 anni",2017,7881
"65","Italia","Maschi","40-64 anni",2018,8352
"66","Italia","Maschi","40-64 anni",2019,13656
"67","Italia","Maschi","40-64 anni",2020,10144
"68","Italia","Maschi","40-64 anni",2021,12713
"69","Italia","Maschi","40-64 anni",2022,14027
