"","year","sex","age","low95","median","high95","source"
"1",2026,"Maschi",0,185992,192216,198446,"Istat"
"2",2026,"Maschi",1,188498,193113,197964,"Istat"
"3",2026,"Maschi",2,199171,199430,199691,"Istat"
"4",2026,"Maschi",3,208004,208272,208539,"Istat"
"5",2026,"Maschi",4,211962,212232,212500,"Istat"
"6",2026,"Maschi",5,216299,216565,216829,"Istat"
"7",2026,"Maschi",6,223968,224228,224485,"Istat"
"8",2026,"Maschi",7,234292,234545,234794,"Istat"
"9",2026,"Maschi",8,244037,244283,244525,"Istat"
"10",2026,"Maschi",9,250638,250876,251112,"Istat"
"11",2026,"Maschi",10,257306,257539,257769,"Istat"
"12",2026,"Maschi",11,264855,265084,265310,"Istat"
"13",2026,"Maschi",12,268693,268919,269144,"Istat"
"14",2026,"Maschi",13,280365,280593,280820,"Istat"
"15",2026,"Maschi",14,285232,285466,285701,"Istat"
"16",2026,"Maschi",15,294267,294514,294761,"Istat"
"17",2026,"Maschi",16,299217,299488,299763,"Istat"
"18",2026,"Maschi",17,303488,303804,304124,"Istat"
"19",2026,"Maschi",18,305590,305968,306352,"Istat"
"20",2026,"Maschi",19,309532,309977,310431,"Istat"
"21",2026,"Maschi",20,312787,313300,313820,"Istat"
"22",2026,"Maschi",21,319408,319983,320568,"Istat"
"23",2026,"Maschi",22,315096,315730,316374,"Istat"
"24",2026,"Maschi",23,313002,313691,314389,"Istat"
"25",2026,"Maschi",24,316739,317478,318223,"Istat"
"26",2026,"Maschi",25,325680,326458,327236,"Istat"
"27",2026,"Maschi",26,323899,324707,325519,"Istat"
"28",2026,"Maschi",27,327806,328624,329445,"Istat"
"29",2026,"Maschi",28,323262,324081,324896,"Istat"
"30",2026,"Maschi",29,322953,323760,324562,"Istat"
"31",2026,"Maschi",30,320158,320941,321720,"Istat"
"32",2026,"Maschi",31,321307,322061,322811,"Istat"
"33",2026,"Maschi",32,324638,325360,326078,"Istat"
"34",2026,"Maschi",33,337230,337917,338600,"Istat"
"35",2026,"Maschi",34,333827,334477,335123,"Istat"
"36",2026,"Maschi",35,340713,341325,341934,"Istat"
"37",2026,"Maschi",36,336825,337397,337968,"Istat"
"38",2026,"Maschi",37,344969,345503,346037,"Istat"
"39",2026,"Maschi",38,336528,337027,337526,"Istat"
"40",2026,"Maschi",39,336748,337212,337677,"Istat"
"41",2026,"Maschi",40,345245,345677,346111,"Istat"
"42",2026,"Maschi",41,350929,351330,351735,"Istat"
"43",2026,"Maschi",42,356304,356676,357053,"Istat"
"44",2026,"Maschi",43,367042,367389,367739,"Istat"
"45",2026,"Maschi",44,367446,367768,368094,"Istat"
"46",2026,"Maschi",45,377382,377683,377986,"Istat"
"47",2026,"Maschi",46,385852,386132,386415,"Istat"
"48",2026,"Maschi",47,406015,406277,406542,"Istat"
"49",2026,"Maschi",48,417032,417278,417528,"Istat"
"50",2026,"Maschi",49,433969,434200,434436,"Istat"
"51",2026,"Maschi",50,453411,453630,453853,"Istat"
"52",2026,"Maschi",51,470470,470676,470888,"Istat"
"53",2026,"Maschi",52,465821,466018,466220,"Istat"
"54",2026,"Maschi",53,469960,470150,470343,"Istat"
"55",2026,"Maschi",54,471571,471756,471943,"Istat"
"56",2026,"Maschi",55,466372,466552,466734,"Istat"
"57",2026,"Maschi",56,476860,477038,477220,"Istat"
"58",2026,"Maschi",57,471376,471554,471737,"Istat"
"59",2026,"Maschi",58,470722,470904,471087,"Istat"
"60",2026,"Maschi",59,474963,475153,475343,"Istat"
"61",2026,"Maschi",60,471586,471785,471979,"Istat"
"62",2026,"Maschi",61,474938,475149,475354,"Istat"
"63",2026,"Maschi",62,440851,441064,441271,"Istat"
"64",2026,"Maschi",63,422329,422550,422766,"Istat"
"65",2026,"Maschi",64,410179,410411,410634,"Istat"
"66",2026,"Maschi",65,394847,395089,395321,"Istat"
"67",2026,"Maschi",66,381526,381780,382025,"Istat"
"68",2026,"Maschi",67,359974,360238,360490,"Istat"
"69",2026,"Maschi",68,352798,353082,353353,"Istat"
"70",2026,"Maschi",69,342284,342585,342872,"Istat"
"71",2026,"Maschi",70,331559,331880,332185,"Istat"
"72",2026,"Maschi",71,322034,322378,322708,"Istat"
"73",2026,"Maschi",72,303803,304163,304508,"Istat"
"74",2026,"Maschi",73,292744,293128,293497,"Istat"
"75",2026,"Maschi",74,286526,286946,287346,"Istat"
"76",2026,"Maschi",75,290828,291302,291755,"Istat"
"77",2026,"Maschi",76,286153,286674,287170,"Istat"
"78",2026,"Maschi",77,289894,290486,291048,"Istat"
"79",2026,"Maschi",78,274851,275484,276082,"Istat"
"80",2026,"Maschi",79,263980,264663,265308,"Istat"
"81",2026,"Maschi",80,194517,195088,195626,"Istat"
"82",2026,"Maschi",81,190996,191625,192219,"Istat"
"83",2026,"Maschi",82,181102,181779,182417,"Istat"
"84",2026,"Maschi",83,169244,169963,170642,"Istat"
"85",2026,"Maschi",84,158849,159618,160348,"Istat"
"86",2026,"Maschi",85,160719,161611,162457,"Istat"
"87",2026,"Maschi",86,144899,145817,146691,"Istat"
"88",2026,"Maschi",87,125325,126233,127096,"Istat"
"89",2026,"Maschi",88,102136,102980,103783,"Istat"
"90",2026,"Maschi",89,81622,82390,83122,"Istat"
"91",2026,"Maschi",90,70453,71206,71925,"Istat"
"92",2026,"Maschi",91,56092,56770,57418,"Istat"
"93",2026,"Maschi",92,43355,43945,44511,"Istat"
"94",2026,"Maschi",93,32558,33056,33534,"Istat"
"95",2026,"Maschi",94,24608,25030,25436,"Istat"
"96",2026,"Maschi",95,18308,18661,19000,"Istat"
"97",2026,"Maschi",96,11768,12022,12267,"Istat"
"98",2026,"Maschi",97,7695,7881,8058,"Istat"
"99",2026,"Maschi",98,5022,5154,5281,"Istat"
"100",2026,"Maschi",99,3027,3113,3196,"Istat"
"101",2026,"Maschi",100,1767,23887,1872,"Istat"
"102",2026,"Femmine",0,174915,180780,186647,"Istat"
"103",2026,"Femmine",1,176792,181135,185702,"Istat"
"104",2026,"Femmine",2,187240,187455,187667,"Istat"
"105",2026,"Femmine",3,194520,194740,194956,"Istat"
"106",2026,"Femmine",4,200500,200716,200930,"Istat"
"107",2026,"Femmine",5,202827,203040,203251,"Istat"
"108",2026,"Femmine",6,211802,212008,212214,"Istat"
"109",2026,"Femmine",7,220189,220390,220592,"Istat"
"110",2026,"Femmine",8,229182,229377,229575,"Istat"
"111",2026,"Femmine",9,236744,236934,237126,"Istat"
"112",2026,"Femmine",10,242148,242333,242519,"Istat"
"113",2026,"Femmine",11,249134,249313,249494,"Istat"
"114",2026,"Femmine",12,252754,252928,253104,"Istat"
"115",2026,"Femmine",13,263501,263670,263842,"Istat"
"116",2026,"Femmine",14,267547,267713,267880,"Istat"
"117",2026,"Femmine",15,274645,274810,274974,"Istat"
"118",2026,"Femmine",16,279419,279587,279754,"Istat"
"119",2026,"Femmine",17,283629,283805,283980,"Istat"
"120",2026,"Femmine",18,282502,282694,282884,"Istat"
"121",2026,"Femmine",19,283282,283499,283715,"Istat"
"122",2026,"Femmine",20,282441,282695,282949,"Istat"
"123",2026,"Femmine",21,287754,288054,288357,"Istat"
"124",2026,"Femmine",22,283763,284117,284472,"Istat"
"125",2026,"Femmine",23,282649,283061,283471,"Istat"
"126",2026,"Femmine",24,285208,285680,286146,"Istat"
"127",2026,"Femmine",25,290277,290800,291315,"Istat"
"128",2026,"Femmine",26,286976,287526,288078,"Istat"
"129",2026,"Femmine",27,287696,288262,288831,"Istat"
"130",2026,"Femmine",28,288783,289352,289926,"Istat"
"131",2026,"Femmine",29,290859,291421,291988,"Istat"
"132",2026,"Femmine",30,291333,291881,292434,"Istat"
"133",2026,"Femmine",31,296642,297171,297706,"Istat"
"134",2026,"Femmine",32,303665,304172,304684,"Istat"
"135",2026,"Femmine",33,317145,317629,318119,"Istat"
"136",2026,"Femmine",34,317224,317685,318151,"Istat"
"137",2026,"Femmine",35,323250,323687,324128,"Istat"
"138",2026,"Femmine",36,324648,325062,325480,"Istat"
"139",2026,"Femmine",37,332345,332738,333133,"Istat"
"140",2026,"Femmine",38,327169,327542,327915,"Istat"
"141",2026,"Femmine",39,329073,329427,329780,"Istat"
"142",2026,"Femmine",40,339892,340228,340563,"Istat"
"143",2026,"Femmine",41,346012,346331,346650,"Istat"
"144",2026,"Femmine",42,351828,352132,352436,"Istat"
"145",2026,"Femmine",43,364251,364539,364829,"Istat"
"146",2026,"Femmine",44,367036,367313,367590,"Istat"
"147",2026,"Femmine",45,374524,374787,375052,"Istat"
"148",2026,"Femmine",46,387885,388137,388391,"Istat"
"149",2026,"Femmine",47,407447,407690,407935,"Istat"
"150",2026,"Femmine",48,421444,421678,421912,"Istat"
"151",2026,"Femmine",49,439323,439548,439775,"Istat"
"152",2026,"Femmine",50,459877,460094,460314,"Istat"
"153",2026,"Femmine",51,477726,477936,478146,"Istat"
"154",2026,"Femmine",52,475846,476048,476253,"Istat"
"155",2026,"Femmine",53,479014,479209,479408,"Istat"
"156",2026,"Femmine",54,484962,485152,485346,"Istat"
"157",2026,"Femmine",55,479510,479696,479884,"Istat"
"158",2026,"Femmine",56,492282,492464,492650,"Istat"
"159",2026,"Femmine",57,488130,488310,488493,"Istat"
"160",2026,"Femmine",58,490463,490644,490826,"Istat"
"161",2026,"Femmine",59,492731,492912,493094,"Istat"
"162",2026,"Femmine",60,490836,491019,491200,"Istat"
"163",2026,"Femmine",61,496830,497016,497199,"Istat"
"164",2026,"Femmine",62,467168,467351,467531,"Istat"
"165",2026,"Femmine",63,450769,450951,451132,"Istat"
"166",2026,"Femmine",64,440978,441164,441349,"Istat"
"167",2026,"Femmine",65,425651,425842,426030,"Istat"
"168",2026,"Femmine",66,413216,413412,413605,"Istat"
"169",2026,"Femmine",67,394275,394475,394671,"Istat"
"170",2026,"Femmine",68,388726,388934,389138,"Istat"
"171",2026,"Femmine",69,378674,378888,379100,"Istat"
"172",2026,"Femmine",70,370184,370409,370634,"Istat"
"173",2026,"Femmine",71,363233,363473,363718,"Istat"
"174",2026,"Femmine",72,342711,342964,343217,"Istat"
"175",2026,"Femmine",73,335670,335942,336216,"Istat"
"176",2026,"Femmine",74,331508,331807,332106,"Istat"
"177",2026,"Femmine",75,339897,340238,340582,"Istat"
"178",2026,"Femmine",76,337620,337999,338386,"Istat"
"179",2026,"Femmine",77,347756,348196,348651,"Istat"
"180",2026,"Femmine",78,333837,334318,334811,"Istat"
"181",2026,"Femmine",79,327978,328520,329075,"Istat"
"182",2026,"Femmine",80,247232,247705,248188,"Istat"
"183",2026,"Femmine",81,248660,249204,249763,"Istat"
"184",2026,"Femmine",82,244133,244752,245389,"Istat"
"185",2026,"Femmine",83,234219,234907,235616,"Istat"
"186",2026,"Femmine",84,226816,227590,228388,"Istat"
"187",2026,"Femmine",85,237152,238098,239069,"Istat"
"188",2026,"Femmine",86,219625,220646,221695,"Istat"
"189",2026,"Femmine",87,198805,199883,200989,"Istat"
"190",2026,"Femmine",88,168764,169831,170925,"Istat"
"191",2026,"Femmine",89,143300,144354,145436,"Istat"
"192",2026,"Femmine",90,129934,131043,132181,"Istat"
"193",2026,"Femmine",91,110332,111418,112534,"Istat"
"194",2026,"Femmine",92,90861,91889,92945,"Istat"
"195",2026,"Femmine",93,74319,75278,76264,"Istat"
"196",2026,"Femmine",94,60162,61046,61954,"Istat"
"197",2026,"Femmine",95,49626,50452,51302,"Istat"
"198",2026,"Femmine",96,34737,35390,36062,"Istat"
"199",2026,"Femmine",97,25106,25637,26183,"Istat"
"200",2026,"Femmine",98,17715,18133,18563,"Istat"
"201",2026,"Femmine",99,11922,12233,12553,"Istat"
"202",2026,"Femmine",100,7826,23887,8281,"Istat"
"203",2027,"Maschi",0,185642,193273,200976,"Istat"
"204",2027,"Maschi",1,187820,194036,200279,"Istat"
"205",2027,"Maschi",2,190273,194853,199692,"Istat"
"206",2027,"Maschi",3,200610,201050,201490,"Istat"
"207",2027,"Maschi",4,209338,209789,210238,"Istat"
"208",2027,"Maschi",5,213220,213666,214109,"Istat"
"209",2027,"Maschi",6,217488,217925,218359,"Istat"
"210",2027,"Maschi",7,225096,225523,225946,"Istat"
"211",2027,"Maschi",8,235374,235788,236198,"Istat"
"212",2027,"Maschi",9,245092,245494,245893,"Istat"
"213",2027,"Maschi",10,251686,252078,252467,"Istat"
"214",2027,"Maschi",11,258366,258751,259132,"Istat"
"215",2027,"Maschi",12,265953,266333,266711,"Istat"
"216",2027,"Maschi",13,269865,270244,270623,"Istat"
"217",2027,"Maschi",14,281662,282051,282439,"Istat"
"218",2027,"Maschi",15,286747,287151,287555,"Istat"
"219",2027,"Maschi",16,296126,296564,297003,"Istat"
"220",2027,"Maschi",17,301629,302130,302634,"Istat"
"221",2027,"Maschi",18,306547,307136,307733,"Istat"
"222",2027,"Maschi",19,309256,309953,310659,"Istat"
"223",2027,"Maschi",20,313724,314531,315350,"Istat"
"224",2027,"Maschi",21,317370,318285,319213,"Istat"
"225",2027,"Maschi",22,324185,325204,326235,"Istat"
"226",2027,"Maschi",23,319865,320977,322102,"Istat"
"227",2027,"Maschi",24,317602,318804,320008,"Istat"
"228",2027,"Maschi",25,321107,322375,323648,"Istat"
"229",2027,"Maschi",26,329798,331122,332452,"Istat"
"230",2027,"Maschi",27,327800,329164,330529,"Istat"
"231",2027,"Maschi",28,331528,332890,334254,"Istat"
"232",2027,"Maschi",29,326810,328162,329515,"Istat"
"233",2027,"Maschi",30,326328,327648,328969,"Istat"
"234",2027,"Maschi",31,323353,324628,325905,"Istat"
