"","sex","age","year","population","citizenship"
"1","Maschi",0,2019,190132,"italiani"
"2","Maschi",0,2020,181874,"italiani"
"3","Maschi",0,2021,177469,"italiani"
"4","Maschi",0,2022,177905,"italiani"
"5","Maschi",0,2023,176095,"italiani"
"6","Maschi",0,2024,169733,"italiani"
"7","Maschi",0,2025,165102,"italiani"
"8","Maschi",0,2026,158647,"italiani"
"9","Maschi",1,2019,200888,"italiani"
"10","Maschi",1,2020,193012,"italiani"
"11","Maschi",1,2021,185672,"italiani"
"12","Maschi",1,2022,180010,"italiani"
"13","Maschi",1,2023,180203,"italiani"
"14","Maschi",1,2024,178374,"italiani"
"15","Maschi",1,2025,172147,"italiani"
"16","Maschi",1,2026,166110,"italiani"
"17","Maschi",2,2019,207857,"italiani"
"18","Maschi",2,2020,201864,"italiani"
"19","Maschi",2,2021,195493,"italiani"
"20","Maschi",2,2022,186627,"italiani"
"21","Maschi",2,2023,182089,"italiani"
"22","Maschi",2,2024,182078,"italiani"
"23","Maschi",2,2025,180317,"italiani"
"24","Maschi",2,2026,173199,"italiani"
"25","Maschi",3,2019,214848,"italiani"
"26","Maschi",3,2020,208518,"italiani"
"27","Maschi",3,2021,204268,"italiani"
"28","Maschi",3,2022,196213,"italiani"
"29","Maschi",3,2023,188547,"italiani"
"30","Maschi",3,2024,183968,"italiani"
"31","Maschi",3,2025,183801,"italiani"
"32","Maschi",3,2026,181333,"italiani"
"33","Maschi",4,2019,222540,"italiani"
"34","Maschi",4,2020,215459,"italiani"
"35","Maschi",4,2021,211476,"italiani"
"36","Maschi",4,2022,205036,"italiani"
"37","Maschi",4,2023,198159,"italiani"
"38","Maschi",4,2024,190441,"italiani"
"39","Maschi",4,2025,185911,"italiani"
"40","Maschi",4,2026,184813,"italiani"
"41","Maschi",5,2019,227486,"italiani"
"42","Maschi",5,2020,223301,"italiani"
"43","Maschi",5,2021,218798,"italiani"
"44","Maschi",5,2022,211753,"italiani"
"45","Maschi",5,2023,206884,"italiani"
"46","Maschi",5,2024,200121,"italiani"
