coefficient,value
US_(Intercept),0.085657945
US_ygap_US,0.734542214
US_b_lag_US,0.004398516
Germany_(Intercept),-0.027239139
Germany_ygap_Germany,0.530163955
Germany_b_lag_Germany,0.038273566
Netherlands_(Intercept),-0.068173151
Netherlands_ygap_Netherlands,0.755750598
Netherlands_b_lag_Netherlands,0.070442027
France_(Intercept),-0.013485988
France_ygap_France,0.469637452
France_b_lag_France,0.006490082
Spain_(Intercept),-0.032881144
Spain_ygap_Spain,0.429073565
Spain_b_lag_Spain,0.046699506
Italy_(Intercept),0.082832979
Italy_ygap_Italy,-0.097457178
Italy_b_lag_Italy,0
