"coefficient","value"
"US_dypot_US",1.38226909959381
"US_ygap_lag_US",-0.427749512400302
"US_D_US",-0.0151002135704451
"Germany_dypot_Germany",1.38226909959381
"Germany_ygap_lag_Germany",-0.477701873807324
"Germany_D_Germany",-0.0151002135704451
"Netherlands_dypot_Netherlands",1.38226909959381
"Netherlands_ygap_lag_Netherlands",-0.513322325632799
"Netherlands_D_Netherlands",-0.0151002135704451
"France_dypot_France",1.38226909959381
"France_ygap_lag_France",-0.566190797726379
"France_D_France",-0.0151002135704451
"Spain_dypot_Spain",1.38226909959381
"Spain_ygap_lag_Spain",-0.31346422022435
"Spain_D_Spain",-0.0151002135704451
"Italy_dypot_Italy",1.38226909959381
"Italy_ygap_lag_Italy",-0.529165434315061
"Italy_D_Italy",-0.0151002135704451
