"year","resid"
2000,0.0153972974532165
2001,0.00443504826399473
2002,-0.0118686572909722
2003,-0.0128024426566885
2004,0.0161961007282581
2005,0.0111089715038845
2006,0.00539239558860564
2007,0.000803577958253678
2008,0.0228460871764429
2009,-0.0518349276472572
2010,0.00563386332591259
2011,0.00284590521810776
2012,0.00434477073615068
2013,-0.0140594280910668
2014,2.3900412271325e-05
2015,-0.00109473189063083
2016,-0.0128915795546837
2017,-0.00260150203953448
2018,0.013598628997986
2019,-0.0150728259458445
2020,-0.0138818665326748
2021,0.0347490791969501
2022,0.0480094824424448
2023,-0.0121058121452352
2024,0.00328767798865595
