"year","Netherlands","France","Spain","Italy"
2000,-0.00173103197668694,-0.00757989898757105,-0.00623738425297027,-0.00819948798154441
2001,0.000957799286432034,-0.00175583214265226,-0.0030336158154056,-0.00282199762854012
2002,-0.00142242376789346,-0.00159376782825861,-0.00481263596678243,-0.00827546771505873
2003,-0.00241643957100267,-0.00249823862694647,-0.00530140433438754,-0.00808297560439645
2004,-0.000584922631052094,-0.00181877136205752,-0.00320480397327466,-0.00633080485131218
2005,-0.000521569753439676,-0.00134966112921632,-0.00333246396655134,-0.00596691544913145
2006,-0.000705304475204084,-0.00200052111427113,-0.00235713290739957,-0.00607686005443962
2007,0.00301224770306807,0.000135467948790278,-0.000762949170327893,-0.00375300679464057
2008,0.00575711938355584,0.00133117779935508,0.00108187311481739,-0.00194710336486464
2009,-0.00257961851823298,-0.00177121667258933,0.00207876645359518,-0.00361555203966161
2010,-0.00245300520560205,-0.00312700715840167,-0.00217594128307446,-0.00414401766819108
2011,-0.000856192414863701,0.00200975404461301,0.00768135190166777,0.00404882478547197
2012,-0.00269145924555241,0.00235756983812591,0.00917652498461483,0.0119935655818941
2013,0.000703308216366923,0.0035238083907165,0.0119940786162717,0.00887367850043944
2014,-0.000437676822664972,0.00240355610684032,0.0065318545105893,0.00580095599372728
2015,-0.00160339472506074,0.00151411594069544,0.00142909946559736,0.00198743436175304
2016,-0.00103501589845986,0.00121881355174326,0.00067330091092676,0.00180318839846515
2017,-0.00129330042302683,0.000649821338038925,-0.000312290540325683,0.00247601518191716
2018,-0.000167864977747791,0.000717715949560801,-0.000481887334221177,0.00252550618776315
2019,0.000535497041900144,-4.5804960375772e-05,-0.000892571487151633,0.0025358920882652
2020,0.00213806191617834,-0.000616141095876974,-0.00218261066494968,0.00159928328499566
2021,0.00200033680250124,0.00155285113311505,-0.00192034542612318,0.00326113086868191
2022,0.00177775419526101,0.00440955650316266,-0.000927992452138612,0.00741425261099476
2023,0.00114152395181515,0.00161155731599492,-0.00122575260838416,0.00296317146521743
2024,0.00247557190941151,0.000721095217465014,-0.0014850677746124,0.00193128984219461
