"year","resid"
2000,0.00643941712128425
2001,-0.00974658403014719
2002,-0.00272068533704518
2003,-0.000394219237622638
2004,-0.00504215583602333
2005,0.000909767304799379
2006,-0.00435544279488876
2007,-0.00109266376854279
2008,-0.00358126984068878
2009,-0.00208399241891614
2010,-0.000142010155404361
2011,0.000261698637922608
2012,0.00157878020023332
2013,0.00250907824808629
2014,-0.00147586854518546
2015,0.00155359011767715
2016,0.0012744007311706
2017,0.00156467645437386
2018,-0.0014792978870668
2019,0.00202521021202881
2020,0.000788261130072077
2021,0.000705784468157394
2022,0.000585589889013114
2023,9.06541963697875e-05
2024,-0.000664292592064531
