"year","resid"
2000,-0.0016781595656974
2001,0.0106460803109982
2002,0.0140072773898409
2003,0.0155000482867005
2004,0.0100747688332274
2005,0.00700078317354322
2006,0.0132150625255555
2007,0.0181502663832376
2008,0.0138756640112024
2009,0.0121220680508216
2010,0.00944778762335215
2011,0.00440849921045873
2012,-0.000130297456475936
2013,-0.00342645963677507
2014,-0.00499302926240133
2015,-0.00712621542803857
2016,-0.00600221514757595
2017,-0.0077761130497722
2018,-0.00730922168007044
2019,-0.0080559616378581
2020,-0.0117211494030825
2021,-0.0196496655109472
2022,-0.0234397536592236
2023,-0.0167775042049661
2024,-0.0135332552953996
