"year","US","Germany","Netherlands","France","Spain","Italy"
2000,0.0212010131387972,0.00246441769028128,-0.000918500980768455,0.00976631783131308,-0.00124130468228236,0.0123506552493373
2001,0.025697713804411,-0.0103223493356693,-0.000855055517587754,0.0112073436643009,-0.00118279360165717,0.001708590878521
2002,0.00223815222093428,-0.00716606729047896,0.00404413710845406,-0.00124814039847698,0.00131616542704169,-0.00116999406332916
2003,-0.0192021181914896,0.00448051382065699,0.00402356644828962,-0.00861227021482785,-0.000349905056178964,-0.00944773424185596
2004,-0.022365353325866,0.00755154659152507,0.0170838777521155,-0.00614995249149382,0.00244496286407975,-0.0153201345425473
2005,-0.0140797215020966,0.00941175886107639,0.0246031242910764,-0.00548363623170505,0.0135805215338946,-0.0217052066370933
2006,-0.00628095974725662,0.0083362055271902,0.00598570149166064,-0.00272852548975869,0.0186523623404229,-0.0126697415698231
2007,-0.011047095403144,0.0178375377531041,-0.00299215568744242,-0.00721177846024871,0.0203532769452332,0.0079163590239625
2008,-0.00713434456650185,0.0151879261739753,0.000592382930870761,-0.00356134642451859,-0.0256037436630642,-0.00345094192441034
2009,-0.0290666766901901,0.0258793596617274,-0.0141535550058082,-0.0185152854959261,-0.0524279802089981,-0.0270186630806123
2010,-0.0260121969362125,-0.0123748951198429,-0.0255606274661724,-0.0194312745749329,-0.0269804447250353,-0.0138046225823439
2011,-0.00643232290300597,-0.00280578032054386,-0.0250794816196235,-0.00711342569178123,-0.0172355442564553,-0.00302217903981765
2012,0.00885874195678266,0.0076336142504668,-0.0130891970005283,-0.00148489197682186,-0.0124941425397234,0.0096474488398284
2013,0.024124916904508,0.00907173945209689,-0.00339791125840198,-0.00157024306877558,0.034025051329719,0.014527849678569
2014,0.023602166255863,0.0105944820183167,-0.00446408918587971,-0.000688908798784393,0.0324069928183127,0.0184236553248945
2015,0.0280513738947701,0.0110145874710624,-0.00627901865031793,0.00332071934020406,0.00859149411443519,0.0196092678056789
2016,0.0214538142133465,0.00769992238893531,-0.00158936728869642,0.00315865850810977,0.00468043965304019,0.0187919549333065
2017,0.0207446655143955,0.00101583341957404,0.00177758142781792,-0.00285531307805127,-0.000327926073672234,0.0156093288158334
2018,0.00212642283037398,0.00576207958432023,-0.00214106314159012,0.0101221021949238,-0.0027517660275957,0.0156860290365685
2019,-0.0109370773085608,0.00159041942156275,0.00158221757412721,0.0139582165229667,-0.0138308820370112,0.0213505544407617
2020,-0.0199083450152663,-0.0206053040655185,-0.00228013111316307,0.0149040352756393,-0.00352099174361358,-0.0304495322503797
2021,-0.0427606081247668,-0.0343842940803231,-0.0244661611740788,-0.00678641165084735,-0.0212087174368468,-0.0325583055511666
2022,0.0206070358947629,-0.0340207764100983,-0.0224093002363974,0.00169340313923196,-0.0234104521043958,-0.0247176755641178
2023,-0.0188801436325273,-0.0222757444989818,0.0128165793314906,-0.00720218572811544,0.00123975318367801,-0.0242334568867667
2024,NA,-0.0130732214623832,0.0174383143997398,-0.0104122448593051,0.00460769294728399,0.0180745669643205
