"","sex","age","year","qx"
"1","Maschi","0 anni",2002,4.65308
"2","Maschi","0 anni",2003,4.36719
"3","Maschi","0 anni",2004,3.98859
"4","Maschi","0 anni",2005,3.75626
"5","Maschi","0 anni",2006,3.66916
"6","Maschi","0 anni",2007,3.52316
"7","Maschi","0 anni",2008,3.42158
"8","Maschi","0 anni",2009,3.44424
"9","Maschi","0 anni",2010,3.48075
"10","Maschi","0 anni",2011,3.43246
"11","Maschi","0 anni",2012,3.26057
"12","Maschi","0 anni",2013,3.2856
"13","Maschi","0 anni",2014,3.2512
"14","Maschi","0 anni",2015,3.27444
"15","Maschi","0 anni",2016,3.20092
"16","Maschi","0 anni",2017,3.10268
"17","Maschi","0 anni",2018,3.12156
"18","Maschi","0 anni",2019,2.99255
"19","Maschi","0 anni",2020,2.85162
"20","Maschi","0 anni",2021,2.58229
"21","Maschi","0 anni",2022,2.49291
"22","Maschi","0 anni",2023,2.62887
"23","Maschi","0 anni",2024,2.76326
"24","Maschi","0 anni",2025,2.83574
"25","Maschi","1 anni",2002,0.29234
"26","Maschi","1 anni",2003,0.26772
"27","Maschi","1 anni",2004,0.26037
"28","Maschi","1 anni",2005,0.24799
"29","Maschi","1 anni",2006,0.26482
"30","Maschi","1 anni",2007,0.249
"31","Maschi","1 anni",2008,0.24404
"32","Maschi","1 anni",2009,0.23295
"33","Maschi","1 anni",2010,0.22904
"34","Maschi","1 anni",2011,0.23881
"35","Maschi","1 anni",2012,0.23525
"36","Maschi","1 anni",2013,0.2593
"37","Maschi","1 anni",2014,0.231
"38","Maschi","1 anni",2015,0.21618
"39","Maschi","1 anni",2016,0.17429
"40","Maschi","1 anni",2017,0.19992
"41","Maschi","1 anni",2018,0.21933
"42","Maschi","1 anni",2019,0.24179
"43","Maschi","1 anni",2020,0.22168
"44","Maschi","1 anni",2021,0.20525
"45","Maschi","1 anni",2022,0.19564
"46","Maschi","1 anni",2023,0.20819
"47","Maschi","1 anni",2024,0.20119
"48","Maschi","1 anni",2025,0.17377
"49","Maschi","2 anni",2002,0.21539
"50","Maschi","2 anni",2003,0.20784
"51","Maschi","2 anni",2004,0.19973
"52","Maschi","2 anni",2005,0.18947
"53","Maschi","2 anni",2006,0.19491
"54","Maschi","2 anni",2007,0.18523
"55","Maschi","2 anni",2008,0.18206
"56","Maschi","2 anni",2009,0.17745
"57","Maschi","2 anni",2010,0.17401
"58","Maschi","2 anni",2011,0.17118
"59","Maschi","2 anni",2012,0.16606
"60","Maschi","2 anni",2013,0.17672
"61","Maschi","2 anni",2014,0.17532
"62","Maschi","2 anni",2015,0.17251
"63","Maschi","2 anni",2016,0.14435
"64","Maschi","2 anni",2017,0.14771
"65","Maschi","2 anni",2018,0.15834
"66","Maschi","2 anni",2019,0.1741
"67","Maschi","2 anni",2020,0.164
"68","Maschi","2 anni",2021,0.15199
"69","Maschi","2 anni",2022,0.14114
