"","sex","age","year","population","citizenship"
"1","Maschi",0,2019,31553,"stranieri"
"2","Maschi",0,2020,30882,"stranieri"
"3","Maschi",0,2021,30943,"stranieri"
"4","Maschi",0,2022,27466,"stranieri"
"5","Maschi",0,2023,26991,"stranieri"
"6","Maschi",0,2024,25955,"stranieri"
"7","Maschi",0,2025,25221,"stranieri"
"8","Maschi",0,2026,25636,"stranieri"
"9","Maschi",1,2019,33498,"stranieri"
"10","Maschi",1,2020,31605,"stranieri"
"11","Maschi",1,2021,31297,"stranieri"
"12","Maschi",1,2022,29814,"stranieri"
"13","Maschi",1,2023,27015,"stranieri"
"14","Maschi",1,2024,26364,"stranieri"
"15","Maschi",1,2025,25464,"stranieri"
"16","Maschi",1,2026,25978,"stranieri"
"17","Maschi",2,2019,33814,"stranieri"
"18","Maschi",2,2020,33289,"stranieri"
"19","Maschi",2,2021,32613,"stranieri"
"20","Maschi",2,2022,31360,"stranieri"
"21","Maschi",2,2023,29607,"stranieri"
"22","Maschi",2,2024,26852,"stranieri"
"23","Maschi",2,2025,26102,"stranieri"
"24","Maschi",2,2026,26235,"stranieri"
"25","Maschi",3,2019,33307,"stranieri"
"26","Maschi",3,2020,33589,"stranieri"
"27","Maschi",3,2021,34473,"stranieri"
"28","Maschi",3,2022,32481,"stranieri"
"29","Maschi",3,2023,31172,"stranieri"
"30","Maschi",3,2024,29491,"stranieri"
"31","Maschi",3,2025,26539,"stranieri"
"32","Maschi",3,2026,27224,"stranieri"
"33","Maschi",4,2019,33717,"stranieri"
"34","Maschi",4,2020,33106,"stranieri"
"35","Maschi",4,2021,35141,"stranieri"
"36","Maschi",4,2022,34147,"stranieri"
"37","Maschi",4,2023,31922,"stranieri"
"38","Maschi",4,2024,30847,"stranieri"
"39","Maschi",4,2025,29015,"stranieri"
"40","Maschi",4,2026,27660,"stranieri"
"41","Maschi",5,2019,33130,"stranieri"
"42","Maschi",5,2020,33495,"stranieri"
"43","Maschi",5,2021,34794,"stranieri"
"44","Maschi",5,2022,33887,"stranieri"
"45","Maschi",5,2023,33504,"stranieri"
"46","Maschi",5,2024,31631,"stranieri"
"47","Maschi",5,2025,30300,"stranieri"
"48","Maschi",5,2026,30036,"stranieri"
"49","Maschi",6,2019,33656,"stranieri"
"50","Maschi",6,2020,32722,"stranieri"
"51","Maschi",6,2021,33117,"stranieri"
"52","Maschi",6,2022,33194,"stranieri"
"53","Maschi",6,2023,33203,"stranieri"
"54","Maschi",6,2024,32797,"stranieri"
"55","Maschi",6,2025,30953,"stranieri"
"56","Maschi",6,2026,31239,"stranieri"
"57","Maschi",7,2019,31805,"stranieri"
"58","Maschi",7,2020,33073,"stranieri"
"59","Maschi",7,2021,32268,"stranieri"
"60","Maschi",7,2022,33229,"stranieri"
"61","Maschi",7,2023,32449,"stranieri"
"62","Maschi",7,2024,32573,"stranieri"
"63","Maschi",7,2025,32087,"stranieri"
"64","Maschi",7,2026,31777,"stranieri"
"65","Maschi",8,2019,30975,"stranieri"
"66","Maschi",8,2020,31328,"stranieri"
"67","Maschi",8,2021,32477,"stranieri"
"68","Maschi",8,2022,32137,"stranieri"
"69","Maschi",8,2023,32386,"stranieri"
"70","Maschi",8,2024,31972,"stranieri"
"71","Maschi",8,2025,31987,"stranieri"
"72","Maschi",8,2026,32962,"stranieri"
"73","Maschi",9,2019,30475,"stranieri"
"74","Maschi",9,2020,30549,"stranieri"
"75","Maschi",9,2021,30651,"stranieri"
"76","Maschi",9,2022,32502,"stranieri"
"77","Maschi",9,2023,31340,"stranieri"
"78","Maschi",9,2024,31847,"stranieri"
"79","Maschi",9,2025,31309,"stranieri"
"80","Maschi",9,2026,32823,"stranieri"
"81","Maschi",10,2019,28939,"stranieri"
"82","Maschi",10,2020,29892,"stranieri"
"83","Maschi",10,2021,30048,"stranieri"
"84","Maschi",10,2022,30463,"stranieri"
"85","Maschi",10,2023,31654,"stranieri"
