citizenship,year,tfr_mean,tfr_p10,tfr_p50,tfr_p90,arima_order
italiani,2025,1.0965969965902174,1.0742912748566087,1.0970289525644479,1.1185816398956245,"(2, 0, 0)"
italiani,2026,1.095306322707591,1.0548122392135255,1.0954436709663589,1.134878856267001,"(2, 0, 0)"
italiani,2027,1.0995693847439287,1.0430375837181463,1.0981147271559812,1.1575591350550383,"(2, 0, 0)"
italiani,2028,1.1067694015533438,1.0368261296856938,1.1055980719548706,1.1758713525392934,"(2, 0, 0)"
italiani,2029,1.1182885577858297,1.0406922729162134,1.1168433467736147,1.1998844109092832,"(2, 0, 0)"
italiani,2030,1.13178533068242,1.0432773688932355,1.130969085360499,1.218602026696745,"(2, 0, 0)"
italiani,2031,1.1426499373712469,1.049057897715899,1.1421696098304617,1.236146763677545,"(2, 0, 0)"
italiani,2032,1.1509088930451867,1.057431306427235,1.1511047646423396,1.2450361145239142,"(2, 0, 0)"
italiani,2033,1.1609465217648016,1.0612444875081728,1.1617658456085143,1.2613187458853832,"(2, 0, 0)"
italiani,2034,1.1641116226847983,1.063362119284705,1.1648056564032947,1.264578670457968,"(2, 0, 0)"
italiani,2035,1.1727684088905475,1.0700330422803834,1.1723047376162925,1.2765588861594783,"(2, 0, 0)"
italiani,2036,1.176948127692525,1.0735051377881564,1.176341205640671,1.2805473497132183,"(2, 0, 0)"
italiani,2037,1.181174833153533,1.0769390141018225,1.1809669914700796,1.2863638443848424,"(2, 0, 0)"
italiani,2038,1.1821343159897815,1.0785219819798257,1.1818035469195385,1.2851937270063596,"(2, 0, 0)"
italiani,2039,1.1887277208961564,1.089960863442019,1.188252603243093,1.2907566854827413,"(2, 0, 0)"
italiani,2040,1.1888035270979371,1.0864190430366119,1.1870359693811623,1.2904446539428627,"(2, 0, 0)"
italiani,2041,1.1905788176560685,1.0892525730332383,1.1905507592177123,1.2919361160674494,"(2, 0, 0)"
italiani,2042,1.1945107902800092,1.090403797541514,1.1937903506086065,1.299024815925689,"(2, 0, 0)"
italiani,2043,1.1938803089544887,1.0887841488524028,1.1945964077657403,1.2986060179013617,"(2, 0, 0)"
italiani,2044,1.196698147047071,1.0929439668097267,1.1962851317819867,1.3022094889794193,"(2, 0, 0)"
italiani,2045,1.1972189949777505,1.0943620460699222,1.1951705701763455,1.3036344131718265,"(2, 0, 0)"
italiani,2046,1.1972755438696552,1.0936265563212455,1.1991316421756824,1.3008914286933484,"(2, 0, 0)"
italiani,2047,1.2010024661491834,1.09592184582856,1.1996650428122673,1.3026646161000037,"(2, 0, 0)"
italiani,2048,1.1967305734117484,1.092265266135078,1.1952526988458545,1.3013145912468365,"(2, 0, 0)"
italiani,2049,1.197574130887288,1.0932144296402189,1.1965037746001368,1.300365255306665,"(2, 0, 0)"
italiani,2050,1.1994188147120906,1.0954313116557428,1.1996350125288604,1.3010361646668132,"(2, 0, 0)"
italiani,2051,1.1973476707764397,1.094567523561231,1.1946287610073756,1.3043499849709275,"(2, 0, 0)"
italiani,2052,1.1991194435276744,1.0939851290054499,1.1995509503775006,1.302619430931419,"(2, 0, 0)"
italiani,2053,1.198385536398356,1.0923451457488653,1.1985444485048784,1.3018776357803017,"(2, 0, 0)"
